Arcitectural Category	Publicity	Instruction Name	Operand Format	Op_A	OP_B	Op_C	Op_D	Op_EJ	Op_FK	Op_G	Instruction Code[31:0]	Source Register	Register Read Stage	Register Read Stage G3MH	Destination Register	Register Available Stage	Register Available Stage G3MH	Register Available Stage G3KH	Write Back Stage	Parallel Group	Parallel Group Changed	Parallel Group G3KH	Fusion Instruction Type	ID divided	RN divided	DP divided	WB divided	EX issue limit	CM limit	Instruction Group V850	Issue Rate	Issue Rate G3MH	Issue Rate G3KH	Cycle Calculation Type	Load Type	RS resource1	RS resource2	EX resource1	EX resource2	PSW.CC Dependency	dummy	Branch Type	Branch Type G3MH	Branch Type G3KH	Privilege Type	Copro Type	Mei instruction type	Mdp exception code bit	Library Function Name	Instruction Size	Decode Type	Argument Type	Note
V850		binsu reg1,pos,width,reg2	binsu R[4:0],P[27.19:17],W[31:28],R[15:11]	rrrrr	111111	RRRRR	MMMML	00010	01LLL0		MMMML0001001LLL0rrrrr111111RRRRR	REG2/REG1	1/1		REG2	1				2_1										SHI	1					INT		INT		SET									BINSU	32	BKJ-	R1_R2	
V850		bsh reg2,reg3	bsh R[15:11],R[31:27]	rrrrr	111111	00000	wwwww	01101	000010		wwwww01101000010rrrrr11111100000	REG2	1		REG3	1				2_1										SHI	1					INT		INT		SET									BSH	32	BKJC-	R2_R3	
V850		bsw reg2,reg3	bsw R[15:11],R[31:27]	rrrrr	111111	00000	wwwww	01101	000000		wwwww01101000000rrrrr11111100000	REG2	1		REG3	1				2_1										SHI	1					INT		INT		SET									BSW	32	BKJC-	R2_R3	
V850		cache cacheop,[reg1]	cache CA[12:11.31:27],[R[4:0]]	111pp	111111	RRRRR	PPPPP	00101	100000		PPPPP00101100000111pp111111RRRRR	REG1	1							7_1										CAC	1			CACHE	CACHE	LS		LS									20		CACHE	32	BKJADC-	R1	Overrap with CLL. Decode DC is necessary.
V850		callt imm6	callt IU[5:0]	00000	01000i	iiiii	-----	------	-----		----------------0000001000iiiiii									7_1				2				LSBR	SINGLE_JMP	SP	17	17	6	LAT_CALL	CALLT	LS	INT	LS	BRU			B					17		CALLT	16	Ba-	SELF	
V850		caxi [reg1],reg2,reg3	caxi [R[4:0]],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	00011	101110		wwwww00011101110rrrrr111111RRRRR	REG1/REG2/REG3	1/1/1		REG3	8	8	4		8_1					2					LD	1	1	4	RMW	RMW	LS		LS		SET							8	22	CAXI	32	BKJ-	R1_R2_R3_SELF	
V850		clr1 bit#3,disp16[reg1]	clr1 B[13:11],D[31:16][R[4:0]]	10bbb	111110	RRRRR	ddddd	dddddd	ddddd		dddddddddddddddd10bbb111110RRRRR	REG1	1		PSWCC	8		4		7_1		3_3			2					BIT	1	1	3	RMW	RMW	LS		LS		SET							9	22	CLR1_B3	32	BA-	R1_SELF	
V850		clr1 reg2,[reg1]	clr1r R[15:11],[R[4:0]]	rrrrr	111111	RRRRR	00000	00011	100100		0000000011100100rrrrr111111RRRRR	REG1/REG2	1/1		PSWCC	8		4		7_1		3_3			2					BIT	1	1	3	RMW	RMW	LS		LS		SET							9	22	CLR1	32	BKJD-	R1_R2_SELF	
V850		cmov cccc,imm5,reg2,reg3	cmov5 C[20:17],I[4:0],R[15:11],R[31:27]	rrrrr	111111	iiiii	wwwww	01100	0cccc0		wwwww011000cccc0rrrrr111111iiiii	REG2	1		REG3	1				2_2										SHI	1			CMOV		INT		INT		USE									CMOV_I5	32	BKJ-	R2_R3	
V850		cmov cccc,reg1,reg2,reg3	cmov C[20:17],R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01100	1cccc0		wwwww011001cccc0rrrrr111111RRRRR	REG1/REG2	1/1		REG3	1				2_2										SHI	1			CMOV		INT		INT		USE									CMOV	32	BKJ-	R1_R2_R3	
V850		cmp imm5,reg2	cmp5 I[4:0],R[15:11]	rrrrr	010011	iiiii	-----	------	-----		----------------rrrrr010011iiiii	REG2	1		PSWCC	1				1_2		3_1	ALU1ST							AL	1					INT		INT		SET									CMP_I5	16	B-	R2	
V850		cmp reg1,reg2	cmp R[4:0],R[15:11]	rrrrr	001111	RRRRR	-----	------	-----		----------------rrrrr001111RRRRR	REG2/REG1	1/1		PSWCC	1				1_2		3_1	ALU1ST							AL	1					INT		INT		SET									CMP	16	B-	R1_R2	
V850		ctret 	ctret	00000	111111	00000	00000	00101	000100		00000001010001000000011111100000				PSWCC	8	8	7		6_1									SINGLE	SP	8	8	3			DP		DP		SET		B							CTRET	32	BKJDCA-	NONE	
V850		di 	di	00000	111111	00000	00000	00101	100000		00000001011000000000011111100000									6_1				2					SINGLE	SP	3					DP		DP							SP				DI	32	BKJADC-	NONE	
V850		dispose imm5,list12	dispose IU[5:1],L[31:21.0]	00000	11001i	iiiiL	LLLLL	LLLLLL	00000		LLLLLLLLLLL000000000011001iiiiiL	SP	1		REGS/SP	1/1	1/1	2/1		8_1	1_1			1						LD	1	1	2	LAT_DISP	DISPOSE	LS		LS									12	23	DISPOSE	32	Baf-	RS_SP	
V850		dispose imm5,list12,[reg1]	disposej IU[5:1],L[31:21.0],[R[20:16]]	00000	11001i	iiiiL	LLLLL	LLLLLL	RRRRR		LLLLLLLLLLLRRRRR0000011001iiiiiL	SP/REG1	1/1		REGS/SP	3/3	3/3	2/1		8_1				1	2			LSBR		LD	8	8	2	LAT_DISP	DISPOSE	LS	INT	LS	BRU			B	BP				12	23	DISPOSE_R	32	Baf-	R1_RS_SP_SELF	RRRRR!=00000
V850		div reg1,reg2,reg3	div R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01011	000000		wwwww01011000000rrrrr111111RRRRR	REG2/REG1	1/1		REG2/REG3	19/19				8_1	8_2						2	DIV		DV	1	1	19	LAT_DIV		INT		DIV		SET									DIV	32	BKJ-	R1_R2_R3	
V850		divh reg1,reg2	divh R[4:0],R[15:11]	rrrrr	000010	RRRRR	-----	------	-----		----------------rrrrr000010RRRRR	REG2/REG1	1/1		REG2/REG2	19/19				8_1	8_2						2	DIV		DV	1	1	19	LAT_DIV		INT		DIV		SET									DIVH_R2	16	Bca-	R1_R2	rrrrr!=00000,RRRRR!=00000
V850		divh reg1,reg2,reg3	divh32 R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01010	000000		wwwww01010000000rrrrr111111RRRRR	REG2/REG1	1/1		REG2/REG3	19/19				8_1	8_2						2	DIV		DV	1	1	19	LAT_DIV		INT		DIV		SET									DIVH	32	BKJ-	R1_R2_R3	
V850		divhu reg1,reg2,reg3	divhu R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01010	000010		wwwww01010000010rrrrr111111RRRRR	REG2/REG1	1/1		REG2/REG3	19/19				8_1	8_2						2	DIV		DV	1	1	19	LAT_DIV		INT		DIV		SET									DIVHU	32	BKJ-	R1_R2_R3	
V850		divq reg1,reg2,reg3	divq R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01011	111100		wwwww01011111100rrrrr111111RRRRR	REG2/REG1	1/1		REG2/REG3	3/3		4/4		8_1	8_2						2	DIV		DV	1	1	4	LAT_DVQ		INT		DIV		SET									DIVQ	32	BKJ-	R1_R2_R3	
V850		divu reg1,reg2,reg3	divu R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01011	000010		wwwww01011000010rrrrr111111RRRRR	REG2/REG1	1/1		REG2/REG3	19/19				8_1	8_2						2	DIV		DV	1	1	19	LAT_DIV		INT		DIV		SET									DIVU	32	BKJ-	R1_R2_R3	
V850		divqu reg1,reg2,reg3	divqu R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01011	111110		wwwww01011111110rrrrr111111RRRRR	REG2/REG1	1/1		REG2/REG3	3/3		4/4		8_1	8_2						2	DIV		DV	1	1	4	LAT_DVQU		INT		DIV		SET									DIVQU	32	BKJ-	R1_R2_R3	
V850		ei 	ei	10000	111111	00000	00000	00101	100000		00000001011000001000011111100000									6_1				2					SINGLE	SP	3		1			DP		DP							SP				EI	32	BKJADC-	NONE	
V850		eiret 	eiret	00000	111111	00000	00000	00101	001000		00000001010010000000011111100000				PSWCC	8	8			6_1									SINGLE	SP	8	8	3	RET_SYNC		DP		DP		SET		B			SV				EIRET	32	BKJDCA-	NONE	
V850		feret 	feret	00000	111111	00000	00000	00101	001010		00000001010010100000011111100000				PSWCC	8	8	7		6_1									SINGLE	SP	8	8	3	RET_SYNC		DP		DP		SET		B			SV				FERET	32	BKJDCA-	NONE	
V850		fetrap vector4	fetrap V[14:11]	0iiii	000010	00000	-----	------	-----		----------------0iiii00001000000									6_1									SINGLE	SP	8	8	3			DP		DP				B							FETRAP	16	BcT-	NONE	iiii!=0000
V850		halt 	halt	00000	111111	00000	00000	00100	100000		00000001001000000000011111100000									6_1									SINGLE	SP	1					DP		DP							SV				HALT	32	BKJDCA-	SYNC_RW	
V850		hsh reg2,reg3	hsh R[15:11],R[31:27]	rrrrr	111111	00000	wwwww	01101	000110		wwwww01101000110rrrrr11111100000	REG2	1		REG3	1				2_1										SHI	1					INT		INT		SET									HSH	32	BKJC-	R2_R3	
V850		hsw reg2,reg3	hsw R[15:11],R[31:27]	rrrrr	111111	00000	wwwww	01101	000100		wwwww01101000100rrrrr11111100000	REG2	1		REG3	1				2_1										SHI	1					INT		INT		SET									HSW	32	BKJC-	R2_R3	
V850		hvtrap vector5	hvtrap V[4:0]	00000	111111	iiiii	00000	00100	010000		000000010001000000000111111iiiii									6_1		3_3							SINGLE	HV	7	8	3			DP		DP		SET		B							HVTRAP	32	BKJDA-	NONE	Enabled only in G4MH2.0. To cause RIE instead of PIE, Priv is UM.
V850		jarl [reg1],reg3	jarlr [R[4:0]],R[31:27]	11000	111111	RRRRR	WWWWW	00101	100000		WWWWW0010110000011000111111RRRRR	REG1	1		REG3	1				1_3								BRU		BRA	6	6	1			INT		BRU				B	BP	BP					JARL	32	BKJA-	R1_R3	
V850		jarl disp22,reg2	jarl BRA[5:0.31:17]<<1,R[15:11]	rrrrr	11110d	ddddd	ddddd	dddddd	dddd0		ddddddddddddddd0rrrrr11110dddddd				REG2	1				1_3								BRU		BRA	3	3	1			INT		BRU				B	BP	BP					JARL_D22	32	BaF-	R2	rrrrr!=00000
V850		jarl disp32,reg1	jarlw DU[47:32.31:17]<<1,R[4:0]	00000	010111	RRRRR	ddddd	dddddd	dddd0	D16	ddddddddddddddd000000010111RRRRR				REG1	1				6_1	1_3							BRU		BRA	3	3	1	LONG_INST		INT		BRU				B	BP	BP					JARL_D32	48	BacF-	R1	RRRRR!=00000
V850		jmp [reg1]	jmp [R[4:0]]	00000	000011	RRRRR	-----	------	-----		----------------00000000011RRRRR	REG1	1							1_3		3_3								BRA	6	6	1			INT		INT				B	BP	BP					JMP	16	Ba-	R1	
V850		jmp disp32[reg1]	jmpw DU[47:32.31:17]<<1[R[4:0]]	00000	110111	RRRRR	ddddd	dddddd	dddd0	D16	ddddddddddddddd000000110111RRRRR	REG1	1							6_1	1_3	3_3								BRA	7	7	1	LONG_INST		INT		INT				B	BP	BP					JMP_D32	48	BaF-	R1	
V850		jr disp22	jr BRA[5:0.31:17]<<1	00000	11110d	ddddd	ddddd	dddddd	dddd0		ddddddddddddddd00000011110dddddd									1_3		3_3								BRA	3	3	1			DP		DP				BP		B					JR_D22	32	BaF-	NONE	
V850		jr disp32	jrw DU[47:32.31:17]<<1	00000	010111	00000	ddddd	dddddd	dddd0	D16	ddddddddddddddd00000001011100000									6_1	1_3	3_3								BRA	3	3	1	LONG_INST		DP		DP				BP		B					JR_D32	48	BacF-	NONE	
V850		ld.b disp16[reg1],reg2	ld.b DU[31:16][R[4:0]],R[15:11]	rrrrr	111000	RRRRR	ddddd	dddddd	ddddd		ddddddddddddddddrrrrr111000RRRRR	REG1	1		REG2	3		2		3_3										LD	1				S8	LS		LS									1		LDB_D16	32	B-	R1_R2	
V850		ld.b disp23[reg1],reg3	ld.b23 DU[47:32.26:20][R[4:0]],R[31:27]	00000	111100	RRRRR	wwwww	dddddd	d0101	D16	wwwwwddddddd010100000111100RRRRR	REG1	1		REG3	3		2		7_1	3_3									LD	1			LONG_INST	S8	LS		LS									2		LDB_D23	48	BaF-	R1_R3	
V850		ld.bu disp16[reg1],reg2	ld.bu DU[31:17.5][R[4:0]],R[15:11]	rrrrr	11110b	RRRRR	ddddd	dddddd	dddd1		ddddddddddddddd1rrrrr11110bRRRRR	REG1	1		REG2	3		2		3_3										LD	1				U8	LS		LS									1		LDBU_D16	32	BaF-	R1_R2	rrrrr!=00000
V850		ld.bu disp23[reg1],reg3	ld.bu23 DU[47:32.26:20][R[4:0]],R[31:27]	00000	111101	RRRRR	wwwww	dddddd	d0101	D16	wwwwwddddddd010100000111101RRRRR	REG1	1		REG3	3		2		7_1	3_3									LD	1			LONG_INST	U8	LS		LS									2		LDBU_D23	48	BaF-	R1_R3	
V850		ld.dw disp23[reg1],reg3	ld.dw DU[47:32.26:21]<<1[R[4:0]],R[31:27]	00000	111101	RRRRR	wwwww	dddddd	01001	D16	wwwwwdddddd0100100000111101RRRRR	REG1	1		REG3/REG3+1	3/3		2/3		7_1	3_3				2					LD	1		2	DW	U64	LS		LS									2		LDDW_D23	48	BaF-	R1_DR3	
V850		ld.h disp16[reg1],reg2	ld.h DU[31:17]<<1[R[4:0]],R[15:11]	rrrrr	111001	RRRRR	ddddd	dddddd	dddd0		ddddddddddddddd0rrrrr111001RRRRR	REG1	1		REG2	3		2		3_3										LD	1				S16	LS		LS									1		LDH_D16	32	BF-	R1_R2	
V850		ld.h disp23[reg1],reg3	ld.h23 DU[47:32.26:21]<<1[R[4:0]],R[31:27]	00000	111100	RRRRR	wwwww	dddddd	00111	D16	wwwwwdddddd0011100000111100RRRRR	REG1	1		REG3	3		2		7_1	3_3									LD	1			LONG_INST	S16	LS		LS									2		LDH_D23	48	BaF-	R1_R3	
V850		ld.hu disp16[reg1],reg2	ld.hu DU[31:17]<<1[R[4:0]],R[15:11]	rrrrr	111111	RRRRR	ddddd	ddddd	ddddd1		ddddddddddddddd1rrrrr111111RRRRR	REG1	1		REG2	3		2		3_3										LD	1				U16	LS		LS									1		LDHU_D16	32	BKa-	R1_R2	rrrrr!=00000
V850		ld.hu disp23[reg1],reg3	ld.hu23 DU[47:32.26:21]<<1[R[4:0]],R[31:27]	00000	111101	RRRRR	wwwww	dddddd	00111	D16	wwwwwdddddd0011100000111101RRRRR	REG1	1		REG3	3		2		7_1	3_3									LD	1			LONG_INST	U16	LS		LS									2		LDHU_D23	48	BaF-	R1_R3	
V850		ld.w disp16[reg1],reg2	ld.w DU[31:17]<<1[R[4:0]],R[15:11]	rrrrr	111001	RRRRR	ddddd	dddddd	dddd1		ddddddddddddddd1rrrrr111001RRRRR	REG1	1		REG2	3		2		3_3										LD	1				U32	LS		LS									1		LDW_D16	32	BF-	R1_R2	
V850		ld.w disp23[reg1],reg3	ld.w23 DU[47:32.26:21]<<1[R[4:0]],R[31:27]	00000	111100	RRRRR	wwwww	dddddd	01001	D16	wwwwwdddddd0100100000111100RRRRR	REG1	1		REG3	3		2		7_1	3_3									LD	1			LONG_INST	U32	LS		LS									2		LDW_D23	48	BaF-	R1_R3	
V850		ldl.w [reg1],reg3	ldl.w [R[4:0]],R[31:27]	00000	111111	RRRRR	wwwww	01101	111000		wwwww0110111100000000111111RRRRR	REG1	1		REG3	7		2		7_1										LD	12		1	INV_BUF	U32	LS		LS									7		LDLW	32	BKJA-	R1_R3	
V850		ldsr reg2,regid,selid	ldsr R[4:0],SR[15:11],SEL[31:27]	rrrrr	111111	RRRRR	sssss	00000	100000		sssss00000100000rrrrr111111RRRRR	REG2	1							6_1	2_3								SINGLE	SP	5		1	LDXX_SELID		INT		INT							SP				LDSR	32	BKJ-	R2	
V850		loop reg1,disp16	loop R[4:0],DU[31:17]<<1	00000	110111	RRRRR	ddddd	dddddd	dddd1		ddddddddddddddd100000110111RRRRR	REG1	1		REG1	1				1_2								BRU		LP	6	6	2			INT		BRU		SET		BP							LOOP	32	BaF-	R1	
V850		mac reg1,reg2,reg3,reg4	mac R[4:0],R[15:11],R[31:28]<<1,R[20:17]<<1	rrrrr	111111	RRRRR	wwww0	01111	0mmmm0		wwww0011110mmmm0rrrrr111111RRRRR	REG2/REG1/REG3/REG3+1	1/1/1/1	1/1/2/2	REG4/REG4+1	4/4	4/4	4/5		8_1				2			2	MUL		MAC	2	2	3	MAC		INT		MUL											MAC	32	BKJD-	R1_R2_DR3_DR4	
V850		macu reg1,reg2,reg3,reg4	macu R[4:0],R[15:11],R[31:28]<<1,R[20:17]<<1	rrrrr	111111	RRRRR	wwww0	01111	1mmmm0		wwww0011111mmmm0rrrrr111111RRRRR	REG2/REG1/REG3/REG3+1	1/1/1/1	1/1/2/2	REG4/REG4+1	4/4	4/4	4/5		8_1				2			2	MUL		MAC	2	2	3	MAC		INT		MUL											MACU	32	BKJD-	R1_R2_DR3_DR4	
V850		mov imm32,reg1	movw I[47:32.31:16],R[4:0]	00000	110001	RRRRR	iiiii	iiiiii	iiiii	I16	iiiiiiiiiiiiiiii00000110001RRRRR				REG1	1				6_1	1_1									AL	1			LONG_INST		INT		INT											MOV_I32	48	Ba-	R1	
V850		mov imm5,reg2	mov5 I[4:0],R[15:11]	rrrrr	010000	iiiii	-----	------	-----		----------------rrrrr010000iiiii				REG2	1				1_1		1_5								AL	1			LAT_MV		INT		INT											MOV_I5	16	Ba-	R2	rrrrr!=00000
V850		mov reg1,reg2	movr R[4:0],R[15:11]	rrrrr	000000	RRRRR	-----	------	-----		----------------rrrrr000000RRRRR	REG1	1		REG2	1				1_1		1_2	MOV1ST							AL	1			LAT_MV		INT		INT											MOV	16	Ba-	R1_R2	rrrrr!=00000
V850		movea imm16,reg1,reg2	movea I[31:16],R[4:0],R[15:11]	rrrrr	110001	RRRRR	iiiii	iiiiii	iiiii		iiiiiiiiiiiiiiiirrrrr110001RRRRR	REG1	1		REG2	1				1_1		1_4								AL	1			LAT_MVR0		INT		INT											MOVEA	32	Ba-	R1_R2	rrrrr!=00000
V850		movhi imm16,reg1,reg2	movhi I[31:16],R[4:0],R[15:11]	rrrrr	110010	RRRRR	iiiii	iiiiii	iiiii		iiiiiiiiiiiiiiiirrrrr110010RRRRR	REG1	1		REG2	1				1_1										AL	1			LAT_MVR0		INT		INT											MOVHI	32	Ba-	R1_R2	rrrrr!=00000
V850		mul imm9,reg2,reg3	mul9 I[21:18.4:0],R[15:11],R[31:27]	rrrrr	111111	iiiii	wwwww	01001	IIII00		wwwww01001IIII00rrrrr111111iiiii	REG2	1		REG2/REG3	3/3		3/4		3_1							2	MUL		MUL	1		2			INT		MUL											MUL_I9	32	BKJ-	R2_R3	
V850		mul reg1,reg2,reg3	mul R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01000	100000		wwwww01000100000rrrrr111111RRRRR	REG2/REG1	1/1		REG2/REG3	3/3		3/4		3_1							2	MUL		MUL	1		2			INT		MUL											MUL	32	BKJ-	R1_R2_R3	
V850		mulh imm5,reg2	mulh5 I[4:0],R[15:11]	rrrrr	010111	iiiii	-----	------	-----		----------------rrrrr010111iiiii	REG2	1		REG2	3				3_1								MUL		MUL	1					INT		MUL											MULH_I5	16	Ba-	R2	rrrrr!=00000
V850		mulh reg1,reg2	mulh R[4:0],R[15:11]	rrrrr	000111	RRRRR	-----	------	-----		----------------rrrrr000111RRRRR	REG2/REG1	1/1		REG2	3				3_1								MUL		MUL	1					INT		MUL											MULH	16	Ba-	R1_R2	rrrrr!=00000
V850		mulhi imm16,reg1,reg2	mulhi I[31:16],R[4:0],R[15:11]	rrrrr	110111	RRRRR	iiiii	iiiiii	iiiii		iiiiiiiiiiiiiiiirrrrr110111RRRRR	REG1	1		REG2	3				3_1								MUL		MUL	1					INT		MUL											MULHI	32	Ba-	R1_R2	
V850		mulu imm9,reg2,reg3	mulu9 IU[21:18.4:0],R[15:11],R[31:27]	rrrrr	111111	iiiii	wwwww	01001	IIII10		wwwww01001IIII10rrrrr111111iiiii	REG2	1		REG2/REG3	3/3		3/4		3_1							2	MUL		MUL	1		2			INT		MUL											MULU_I9	32	BKJ-	R2_R3	
V850		mulu reg1,reg2,reg3	mulu R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01000	100010		wwwww01000100010rrrrr111111RRRRR	REG2/REG1	1/1		REG2/REG3	3/3		3/4		3_1							2	MUL		MUL	1		2			INT		MUL											MULU	32	BKJ-	R1_R2_R3	
V850		nop 	nop	00000	000000	00000	-----	------	-----		----------------0000000000000000									6_1	1_2									SP	1			NOP		DP		DP											NOP	16	BaC-	NONE	
V850		not reg1,reg2	not R[4:0],R[15:11]	rrrrr	000001	RRRRR	-----	------	-----		----------------rrrrr000001RRRRR	REG1	1		REG2	1				1_2										LOG	1					INT		INT		SET									NOT	16	B-	R1_R2	
V850		not1 bit#3,disp16[reg1]	not1 B[13:11],D[31:16][R[4:0]]	01bbb	111110	RRRRR	ddddd	dddddd	ddddd		dddddddddddddddd01bbb111110RRRRR	REG1	1		PSWCC	8				7_1					2					BIT	1	1	3	RMW	RMW	LS		LS		SET							9	22	NOT1_B3	32	BA-	R1_SELF	
V850		not1 reg2,[reg1]	not1r R[15:11],[R[4:0]]	rrrrr	111111	RRRRR	00000	00011	100010		0000000011100010rrrrr111111RRRRR	REG1/REG2	1/1		PSWCC	8				7_1					2					BIT	1	1	3	RMW	RMW	LS		LS		SET							9	22	NOT1	32	BKJD-	R1_R2_SELF	
V850		or reg1,reg2	or R[4:0],R[15:11]	rrrrr	001000	RRRRR	-----	------	-----		----------------rrrrr001000RRRRR	REG2/REG1	1/1		REG2	1				1_2			ALU1ST_MOV2ND							LOG	1					INT		INT		SET									OR	16	B-	R1_R2	
V850		ori imm16,reg1,reg2	ori IU[31:16],R[4:0],R[15:11]	rrrrr	110100	RRRRR	iiiii	iiiiii	iiiii		iiiiiiiiiiiiiiiirrrrr110100RRRRR	REG1	1		REG2	1				1_2										LOG	1					INT		INT		SET									ORI	32	B-	R1_R2	
V850		popsp rh-rt	popsp R[4:0],R[31:27]	01100	111111	iiiii	IIIII	00101	100000		IIIII0010110000001100111111iiiii	SP	1		REGS/SP	1/1		3/3		8_1				1						LD	1	1		LAT_POP	POP	INT		INT									13	23	POPSP	32	BKJA-	RH_RT_SP	
V850		pref prefop,[reg1]	pref PO[31:27],[R[4:0]]	11011	111111	RRRRR	PPPPP	00101	100000		PPPPP0010110000011011111111RRRRR	REG1	1							7_1										CAC	1			CACHE	PREF	LS		LS											PREF	32	BKJA-	R1	
V850		prepare list12,imm5	prepare L[31:21.0],IU[5:1]	00000	11110i	iiiiL	LLLLL	LLLLLL	00001		LLLLLLLLLLL000010000011110iiiiiL	SP/REGS	1/1		SP	1	1	2		8_1				1						SP	1	1	1	LAT_PREP		INT		INT									12	23	PREPARE	32	BaF-	RS_SP	
V850		prepare list12,imm5,sp/imm	preparesp L[31:21.0],IU[5:1],sp	00000	11110i	iiiiL	LLLLL	LLLLLL	00011		LLLLLLLLLLL000110000011110iiiiiL	SP/REGS/SP	1/1/1		SP/EP	2/2		3/3		8_1				2						SP	2		3	LAT_PREP		INT		INT									12	23	PREPARE_SP	32	BaF-	RS_SP_EP	
V850		prepare list12,imm5,sp/imm	prepare16 L[31:21.0],I[5:1],I[47:32]	00000	11110i	iiiiL	LLLLL	LLLLLL	01011	I16	LLLLLLLLLLL010110000011110iiiiiL	SP/REGS	1/1		SP/EP	2/2		3/3		8_1				2						SP	2		3	LAT_PREP		INT		INT									12	23	PREPARE_LO16	48	BaF-	RS_SP_EP	
V850		prepare list12,imm5,sp/imm	prepare16hi L[31:21.0],I[5:1],I[47:32]	00000	11110i	iiiiL	LLLLL	LLLLLL	10011	I16	LLLLLLLLLLL100110000011110iiiiiL	SP/REGS	1/1		SP/EP	2/2		3/3		8_1				2						SP	2		3	LAT_PREP		INT		INT									12	23	PREPARE_HI16	48	BaF-	RS_SP_EP	
